0,1
S0027,40_49
S0064,19_29
S0164,30_39
S0380,19_29
S0518,40_49
S0526,60_69
S0476,80_89
S0378,19_29
S0466,19_29
S0308,60_69
S0309,70_79
S0170,30_39
S0107,50_59
S0108,19_29
S0081,30_39
S0090,19_29
S0282,50_59
S0284,60_69
S0563,40_49
S0583,19_29
S0584,19_29
S0585,19_29
S0587,19_29
S0622,0_10
S0641,19_29
S0302,50_59
S0301,70_79
S0304,40_49
S0568,40_49
S0569,19_29
S0691,40_49
S0381,40_49
S0382,60_69
S0673,19_29
S0675,19_29
S0586,19_29
S0447,19_29
S0448,19_29
S0228,19_29
S0154,11_18
S0511,40_49
S0512,11_18
S0513,11_18
S0514,11_18
S0429,19_29
S0430,19_29
S0175,30_39
S0676,19_29
S0677,19_29
S0283,40_49
S0533,11_18
S0413,11_18
S0414,11_18
S0477,19_29
S0363,19_29
S0379,50_59
S0633,40_49
S0634,50_59
S0637,50_59
S0638,40_49
S0437,19_29
S0438,19_29
S0469,19_29
S0388,50_59
S0401,50_59
S0507,70_79
S0465,40_49
S0049,19_29
S0624,19_29
S0625,50_59
S0504,50_59
S0626,19_29
S0627,19_29
S0088,40_49
S0045,19_29
S0078,19_29
S0406,19_29
S0407,40_49
S0408,50_59
S0409,40_49
S0410,40_49
S0091,90_99
S0056,50_59
S0349,19_29
S0350,19_29
S0450,19_29
S0383,30_39
S0534,70_79
S0153,11_18
S0186,30_39
S0242,60_69
S0464,40_49
S0419,60_69
S0285,19_29
S0286,11_18
S0287,50_59
S0358,50_59
S0444,19_29
S0059,19_29
S0079,30_39
S0105,30_39
S0106,19_29
S0127,19_29
S0141,30_39
S0145,19_29
S0155,40_49
S0353,60_69
S0557,19_29
S0424,40_49
S0473,50_59
S0451,19_29
S0288,50_59
S0263,30_39
S0370,60_69
S0334,40_49
S0375,19_29
S0449,40_49
S0237,19_29
S0606,60_69
S0485,70_79
S0491,60_69
S0026,19_29
S0341,50_59
S0489,50_59
S0515,70_79
S0516,60_69
S0240,50_59
S0479,11_18
S0683,11_18
S0684,50_59
S0685,50_59
S0686,19_29
S0470,50_59
S0471,19_29
S0608,Unknown
S0609,Unknown
S0183,30_39
S0347,19_29
S0546,80_89
S0071,30_39
S0087,40_49
S0118,30_39
S0122,19_29
S0163,60_69
S0166,50_59
S0138,50_59
S0542,19_29
S0386,Unknown
S0267,60_69
S0005,80_89
S0006,80_89
S0297,19_29
S0527,40_49
S0356,80_89
S0621,0_10
S0217,19_29
S0425,19_29
S0142,60_69
S0143,60_69
S0399,60_69
S0523,60_69
S0219,19_29
S0033,19_29
S0212,19_29
S0213,19_29
S0292,80_89
S0293,19_29
S0184,19_29
S0214,40_49
S0215,40_49
S0280,40_49
S0014,30_39
S0299,60_69
S0610,19_29
S0612,Unknown
S0298,40_49
S0323,30_39
S0233,19_29
S0234,19_29
S0628,19_29
S0681,60_69
S0647,80_89
S0648,40_49
S0649,70_79
S0172,60_69
S0173,19_29
S0174,60_69
S0307,30_39
S0239,30_39
S0036,40_49
S0048,40_49
S0066,40_49
S0067,40_49
S0435,11_18
S0436,19_29
S0148,19_29
S0149,19_29
S0398,80_89
S0316,30_39
S0074,60_69
S0364,30_39
S0289,60_69
S0010,30_39
S0076,19_29
S0354,70_79
S0317,40_49
S0318,40_49
S0431,19_29
S0433,19_29
S0487,19_29
S0488,19_29
S0560,19_29
S0442,30_39
S0241,40_49
S0133,19_29
S0177,19_29
S0335,30_39
S0376,40_49
S0377,19_29
S0535,70_79
S0011,19_29
S0077,19_29
S0099,19_29
S0100,19_29
S0140,11_18
S0160,19_29
S0524,70_79
S0580,40_49
S0650,80_89
S0055,19_29
S0139,19_29
S0536,70_79
S0656,19_29
S0359,60_69
S0394,60_69
S0395,30_39
S0396,60_69
S0389,60_69
S0274,19_29
S0672,19_29
S0559,19_29
S0367,30_39
S0125,30_39
S0181,30_39
S0182,19_29
S0463,40_49
S0630,80_89
S0636,70_79
S0310,60_69
S0400,19_29
S0022,30_39
S0023,40_49
S0645,30_39
S0403,11_18
S0371,Unknown
S0235,19_29
S0236,19_29
S0009,19_29
S0044,19_29
S0116,19_29
S0165,19_29
S0168,19_29
S0054,19_29
S0069,19_29
S0119,19_29
S0035,30_39
S0132,19_29
S0093,40_49
S0020,30_39
S0290,19_29
S0291,19_29
S0250,19_29
S0562,50_59
S0135,19_29
S0294,70_79
S0295,70_79
S0374,19_29
S0002,19_29
S0025,30_39
S0062,30_39
S0047,60_69
S0467,19_29
S0468,19_29
S0678,19_29
S0660,19_29
S0661,30_39
S0662,90_99
S0663,50_59
S0311,30_39
S0312,30_39
S0313,19_29
S0651,50_59
S0360,60_69
S0361,30_39
S0272,50_59
S0273,60_69
S0646,50_59
S0643,Unknown
S0682,19_29
S0404,11_18
S0373,50_59
S0161,70_79
S0629,30_39
S0528,70_79
