conv_id,n_utterances,n_tokens,topics,type,speaker1_id,speaker1_age_cat,speaker1_gender,speaker1_educ,speaker2_id,speaker2_age_cat,speaker2_gender,speaker2_educ
S7RM,238,2751,"['birthdays', 'plants', 'baby names', 'computers']","['discussing', 'explaining']",S0037,19_29,F,5_postgrad,S0115,30_39,M,5_postgrad
S7RW,1489,14183,"['studies', 'hair', 'staying in marin’s flat', 'airbnb', 'mutual friends', 'utilities', 'internet', 'tea', 'japanese wedding attire', 'family wedding', 'honeymoon', 'hawaii', 'holiday activities', 'hairstyles', 'family memories', 'food', 'indian restaurants', 'guests', 'staying out of london with friends', 'neighbour noise', 'pets', 'spiders', 'bishop’s stortford', 'moving out of london', 'job-seeking', 'renewing visas', 'health', 'friends', 'stress', 'finances', 'work methods', 'winter', 'family', 'cultural differences', 'charity work', 'managing difficulty', 'religion', 'research groups', 'exhibition', 'social media']","['discussing', 'explaining', 'inquiring', 'complaining', 'advising', 'inviting', 'announcing', 'anecdote telling', 'making arrangements', 'apologising', 'telling jokes']",S0540,30_39,F,5_postgrad,S0541,40_49,F,4_graduate
S7S2,312,5027,"['sport', 'uni', 'work', 'bands']","['discussing', 'explaining', 'inquiring']",S0202,19_29,F,3_sixthform,S0208,19_29,F,3_sixthform
S7S7,679,8841,"['the “axis of evil”', 'middle east', 'music', 'easter', 'shops']","['discussing', 'explaining', 'apologizing']",S0037,19_29,F,5_postgrad,S0115,30_39,M,5_postgrad
S7SX,129,2439,"['sport', 'uni', 'work', 'bands', 'guitar']","['discussing', 'explaining', 'inquiring', 'complaining']",S0202,19_29,F,3_sixthform,S0208,19_29,F,3_sixthform
S7SZ,1706,20511,"['hospital appointments and medical procedures', 'death in family', 'funeral arrangements', 'dealing with death and grief', 'family members expressing emotions in the nuclear family', 'family relationships', 'family members’ and friends’ body weight and image; diets; nutrition. ']","['discussing', 'explaining', 'inquiring', 'complaining', 'anecdote telling']",S0262,40_49,F,5_postgrad,S0300,40_49,F,3_sixthform
S7VD,580,7402,"['education', 'group work']","['discussing', 'inquiring', 'complaining', 'advising', 'anecdote telling']",S0509,11_18,F,2_secondary,S0510,40_49,F,5_postgrad
S7WY,805,6915,"['school', 'maths', 'a mock trial competition we do for school', 'sailing', 'drama', 'next year and gcse', 'people', 'music']","['discussing', 'explaining', 'inquiring', 'complaining', 'advising', 'announcing', 'anecdote telling']",S0324,11_18,F,2_secondary,S0325,11_18,F,2_secondary
S7Z8,374,3326,"['fashion', 'language', 'work']","['discussing', 'explaining', 'inquiring', 'making arrangements ']",S0084,19_29,F,5_postgrad,S0157,19_29,F,5_postgrad
S7ZF,214,1974,"['recordings', 'christmas', 'm&s', 'hampers']","['discussing', 'explaining', 'anecdote telling']",S0428,19_29,F,5_postgrad,S0432,19_29,F,4_graduate
